start_time,stop_time,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,move_onset_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target,split
0.0,3.421,11,1,76,True,0.848,1.413,2.1710000000000003,758,565,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,val
3.5,5.631,12,0,77,True,4.176,4.324,4.58,256,148,1,[[-77  82]],0,[],0,train
5.7,8.536,4,1,4,True,6.359,6.54,6.91,370,181,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
8.6,11.745999999999999,8,2,10,True,9.360999999999999,10.259,10.607,348,898,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,val
11.8,14.706000000000001,7,2,8,True,12.593,13.225000000000001,13.55,325,632,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
14.8,17.551000000000002,4,1,4,True,15.48,16.011,16.334,323,531,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,val
17.6,20.626,8,2,10,True,18.42,19.085,19.431,346,665,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,train
20.7,23.651,7,0,8,True,21.399,22.262999999999998,22.558999999999997,296,864,1,[[-92  81]],0,[],0,train
23.7,26.971,6,1,7,True,24.621,25.535999999999998,25.820999999999998,285,915,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,val
27.0,29.641,3,1,3,True,27.731,28.195,28.512,317,464,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
